file	category	archive_tier	last_success_utc	usage_signal	notes
auto-fix-on-push.yml	ci-quality	keep	2026-04-10T03:25:34Z	yes	success sample from gh run list
autonomy-safety-check.yml	health-autonomy	keep	2026-05-02T15:54:23Z	yes	success sample from gh run list
backup.yml	backup	review_quarterly		unknown	no success in sample; manual-only scheduled or failing
ci.yml	ci-quality	keep	2026-05-03T17:01:38Z	yes	success sample from gh run list
cleanup-demos.yml	tenant-ops	keep	2026-05-03T19:10:02Z	yes	success sample from gh run list
copilot-setup-steps.yml	ci-quality	keep	2026-04-27T01:35:23Z	yes	success sample from gh run list
dependency-audit-strict.yml	ci-quality	review_quarterly		unknown	no success in sample; manual-only scheduled or failing
deploy-staging.yml	deploy-release	review_quarterly		unknown	no success in sample; manual-only scheduled or failing
deploy.yml	deploy-release	keep	2026-04-27T01:10:12Z	yes	success sample from gh run list
docs-governance.yml	sync-docs	keep	2026-05-03T20:35:36Z	yes	success sample from gh run list
evolution-pipeline.yml	experimental	review_quarterly		unknown	no success in sample; manual-only scheduled or failing
github-project-sync.yml	tenant-ops	review_quarterly		unknown	no success in sample; manual-only scheduled or failing
guardian-shield-deploy.yml	deploy-release	review_quarterly		unknown	no success in sample; manual-only scheduled or failing
hermes-health.yml	health-autonomy	keep	2026-05-02T13:54:41Z	yes	success sample from gh run list
nightly-fix.yml	ci-quality	review_quarterly		unknown	no success in sample; manual-only scheduled or failing
notebooklm-sync.yml	sync-docs	review_quarterly		unknown	no success in sample; manual-only scheduled or failing
obsidian-vault-sync.yml	sync-docs	keep	2026-05-03T20:35:20Z	yes	success sample from gh run list
promote-production-canary.yml	deploy-release	review_quarterly		unknown	no success in sample; manual-only scheduled or failing
security-bot-deployment.yml	deploy-release	review_quarterly		unknown	no success in sample; manual-only scheduled or failing
security.yml	ci-quality	keep	2026-05-03T00:41:00Z	yes	success sample from gh run list
structure-validation.yml	ci-quality	keep	2026-05-03T00:41:00Z	yes	success sample from gh run list
sync-all.yml	sync-docs	keep	2026-05-02T17:52:30Z	yes	success sample from gh run list
sync-docs.yml	sync-docs	keep	2026-05-02T14:14:24Z	yes	success sample from gh run list
task-orchestrator-ci.yml	tenant-ops	review_quarterly		unknown	no success in sample; manual-only scheduled or failing
tenant-onboarding-readiness.yml	tenant-ops	review_quarterly		unknown	no success in sample; manual-only scheduled or failing
validate-context.yml	ci-quality	keep	2026-05-03T16:57:08Z	yes	success sample from gh run list
validate-doppler.yml	ci-quality	keep	2026-05-03T20:35:33Z	yes	success sample from gh run list
